Model,Accuracy,F1 Score,Precision
Logistic Regression,0.8181818181818182,0.7974683544303798,0.8253275109170306
Random Forest,0.8390151515151515,0.8282828282828283,0.82
Linear SVM,0.8068181818181818,0.7935222672064778,0.7871485943775101
KNN,0.7386363636363636,0.6617647058823529,0.8282208588957055
Naive Bayes,0.7386363636363636,0.6973684210526315,0.7535545023696683
